From,To,Count
338,1955,6
338,2832,1
338,3118,2
338,5211,2
338,5268,2
338,5514,6
338,5800,1
339,4041,3
340,687,1
340,1341,7
340,4097,1
340,4765,1
340,5371,1
340,5816,1
340,6050,1
340,6442,1
341,2334,3
341,2364,9
341,3064,3
341,3646,3
341,3782,9
341,5688,3
342,3752,2
342,6055,2
343,3245,1
343,3856,1
343,5508,5
343,5967,4
344,570,6
344,1374,2
344,1657,2
344,2556,6
344,2719,2
344,3933,2
344,4386,2
344,5947,4
344,6464,2
344,6561,2
345,2345,4
345,2716,1
345,3003,4
345,3862,6
345,4608,1
345,5325,1
345,5603,1
346,1331,2
346,2539,2
346,5229,3
346,6405,2
347,571,4
347,720,3
347,1026,34
347,1045,1
347,1328,2
347,2246,3
347,2376,3
347,2563,3
347,3072,1
347,5325,3
347,5568,8
347,6404,10
347,6444,3
348,5143,3
349,1648,7
350,696,1
351,351,2
351,1283,6
351,2719,14
351,4080,8
352,191,3
352,607,6
352,2267,6
352,2512,10
352,3596,3
352,4788,6
352,4842,1
352,4953,7
352,5060,5
352,5328,6
352,5478,3
352,5643,1
352,5725,9
352,5848,2
352,5899,3
352,5925,19
352,6152,2
352,6242,7
352,6414,33
353,168,3
353,2622,1
353,4693,1
354,556,6
354,1014,3
354,1374,3
354,2077,1
354,2188,3
354,2526,6
354,3078,1
354,3245,1
354,3546,3
354,4151,3
354,5461,12
354,5560,8
354,6434,1
355,700,1
355,1649,1
355,2890,1
355,4388,1
356,488,3
356,543,17
356,834,3
356,1315,29
356,1925,2
356,2267,12
356,2567,3
356,3504,8
356,3829,3
356,4115,3
356,4196,3
356,5206,3
356,5212,7
356,5652,2
356,5725,5
356,5913,14
356,5925,20
356,6060,18
356,6092,2
356,6310,3
356,6414,61
356,6593,8
357,3061,6
357,3837,6
357,5222,6
358,2208,10
358,4382,2
358,5732,8
359,5233,4
360,4390,5
361,1026,1
361,3794,1
361,3856,1
361,5315,1
361,5576,1
361,6404,1
361,6406,1
362,2692,2
362,2719,1
363,1683,3
363,3405,3
363,4938,3
364,364,1
364,1223,2
364,5946,2
365,1489,1
365,1599,1
365,2719,1
365,3655,1
365,4267,2
365,4382,3
365,5214,9
365,5660,2
365,5693,1
365,6337,1
366,1165,2
366,4382,4
367,5508,2
367,6085,1
368,1588,2
368,1847,1
368,3994,1
368,5508,1
368,5838,1
369,169,1
369,866,3
369,1540,15
369,6147,3
370,171,6
370,370,26
370,2719,2
370,3257,127
370,4049,5
370,4060,164
370,4275,147
370,4840,6
370,4867,5
370,5213,4
370,5214,2
370,5910,92
370,5982,6
371,606,4
371,1333,1
371,1710,1
371,3344,10
371,3496,1
371,3686,1
371,3982,4
371,4933,1
371,5340,5
371,5817,4
371,5908,6
371,6275,1
372,3896,1
372,4382,1
372,5340,3
372,6289,1
373,476,3
373,536,3
373,832,2
373,850,6
373,1327,2
373,1926,2
373,2208,4
373,2394,2
373,3306,1
373,3343,12
373,3778,2
373,5213,3
373,5375,2
373,5871,2
373,5893,2
374,5085,2
375,3223,1
375,6055,6
376,376,2
376,609,1
376,835,1
376,1009,3
376,1538,18
376,1650,1
376,2262,3
376,2293,1
376,2407,9
376,2587,3
376,2832,3
376,2834,3
376,2866,2
376,3296,6
376,3316,3
376,3318,22
376,3583,1
376,3772,1
376,3901,3
376,4500,7
376,5603,4
376,6179,4
376,6185,2
376,6241,12
377,2345,7
377,5286,6
377,5418,6
378,378,3
378,866,1
378,1961,2
378,2651,4
378,3377,5
378,3476,6
378,4420,23
378,4517,7
378,4529,9
378,4763,6
378,4815,4
378,4941,3
378,5078,1
378,5713,2
378,6007,4
379,1487,3
379,4182,3
380,3223,2
380,6055,2
381,5688,1
381,6055,4
382,753,4
382,1327,2
382,1413,1
382,2198,1
382,2289,2
382,3335,2
382,4043,2
382,4060,2
382,4072,9
382,4812,2
382,4912,2
382,5071,2
382,5165,2
382,5461,4
382,6055,2
382,6504,2
383,293,9
383,307,11
383,696,11
383,1026,2
383,1648,2
383,2512,6
383,2536,1
383,3538,1
